
USERID,NAME,DOB,POB,CLP,GENDER,AGE,HEIGHT ft,MOBILENUMBER,COLOR,EMAILID,JOBPROFILE,DEGREE,ANNUAL INCOME,FATHER'S NAME,FAMILY NAME,FATHER OCCU,FAMILY STATUS
241,Saiya,12-09-1999,BANGLORE,BEGUSARAI,FEMALE,22,3.641732,9459903675,DUSKY,xyz141@gmail.com,Business,MBA,4220000,ROHAN,SEKRA,TEACHER,Upper class
242,Sajani,30-08-1990,OOTY,NAGORE,FEMALE,32,5.446194,9551112216,DUSKY,xyz142@gmail.com,Accountant,CA,10810000,ROSHAN,JAIN,DOCTOR,Middle class
243,Samara,06-02-1995,MYSORE,JHALANDAR,FEMALE,27,5.249344,9210974803,DUSKY,xyz143@gmail.com,Marketing,MBA,9680000,SAHIL,VIJAYVARGIYA,DOCTOR,Middle class
244,Sana,29-10-1999,SHIMLA,AMRITSAR,FEMALE,22,4.954068,9477130384,DUSKY,xyz144@gmail.com,Sales,MBA,7210000,SACHIN,SAHU,GOVERNMENT,Upper class
245,Sarika,20-03-1996,MANALI,BANGLORE,FEMALE,26,4.199475,9736866643,DUSKY,xyz145@gmail.com,Business,MBA,3330000,SAGAR,NUWAL,PRIVATE,Upper class
246,Satya,24-06-1993,GUWAHATI,OOTY,FEMALE,29,4.363517,9025668509,FAIR,xyz146@gmail.com,Software Engineer,Btech,2870000,BHUSHAN,KASHYAP,GOVERNMENT,Upper class
247,Saumya,10-04-1993,AHEMDABAD,MYSORE,FEMALE,29,4.429134,9605919925,FAIR,xyz147@gmail.com,Lawyer,LLB,13650000,SATEESH,KAPOOR,GOVERNMENT,Upper class
248,Shaniya,01-07-1990,SURAT,SHIMLA,FEMALE,32,4.002625,9242828079,FAIR,xyz148@gmail.com,Accountant,CA,6340000,DHANANJAY,JAIN,GOVERNMENT,Upper class
249,Shaurya,19-01-1998,PANAJI,MANALI,FEMALE,24,3.707349,9793229427,DUSKY,xyz149@gmail.com,Sales,MBA,5450000,SHIV,MODI,PRIVATE,Upper class
250,Shivani,25-01-1999,UJJAIN,GUWAHATI,FEMALE,23,4.986877,9326608555,FAIR,xyz150@gmail.com,Business,MBA,11200000,SHYAM,AGARWAL,ENGINEER,Middle class

